name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-95,YES,0,457,330,320,167,178,166
GENE-99,YES,0,47,45,36,53,50,47
GENE-132,YES,0,1262,754,980,26,27,27
GENE-320,YES,0,69,80,72,17,15,23
GENE-397,YES,0,179,148,172,592,601,654
GENE-406,YES,0,45,40,43,7,6,6
GENE-468,YES,0,26,29,26,18,30,28
GENE-492,YES,0,177,189,221,24,21,17
GENE-509,YES,0,170,190,237,187,161,167
GENE-770,YES,0,188,194,201,198,208,187
GENE-817,YES,0,20,11,18,30,9,15
GENE-834,YES,0,99,124,79,118,114,127
GENE-968,YES,0,156,177,136,55,39,48
GENE-993,YES,0,1394,1284,1377,136,131,136
GENE-1087,YES,0,145,107,217,62,77,105
GENE-1117,YES,0,10960,10243,6997,753,536,865
GENE-1119,YES,0,66,95,107,92,122,115
GENE-1154,YES,0,156,172,179,479,346,393
GENE-1179,YES,0,14,17,17,23,31,23
GENE-1241,YES,0,20,18,18,33,20,21
GENE-1290,YES,0,163,168,235,160,135,149
GENE-1325,YES,0,588,810,1084,79,84,87
GENE-1397,YES,0,4,12,17,69,61,48
GENE-1550,YES,0,12,10,13,8,7,12
GENE-1688,YES,0,25,39,36,18,23,16
GENE-1794,YES,0,4,4,5,24,18,19
GENE-1948,YES,0,184,277,334,379,403,440
GENE-1974,YES,0,700,744,738,1062,1171,1490
GENE-2060,YES,0,94,77,64,214,189,181
GENE-2123,YES,0,1213,1036,920,1110,2138,1077
GENE-2128,YES,0,185,146,112,25,26,31
GENE-2134,YES,0,165,183,268,93,94,138
GENE-2185,YES,0,221,218,156,341,455,433
GENE-2266,YES,0,86,86,96,14,9,6
GENE-2325,YES,0,360,344,381,1525,1784,1800
GENE-2436,YES,0,5,4,4,36,21,29
GENE-2445,YES,0,119,111,103,49,39,29
GENE-2545,YES,0,61,41,59,23,8,5
GENE-2564,YES,0,7287,5531,7471,204,208,169
GENE-2621,YES,0,65,61,71,14,18,8
GENE-2661,YES,0,155,122,173,63,39,71
GENE-2674,YES,0,43,51,91,128,37,121
GENE-2679,YES,0,386,506,531,204,126,150
GENE-2701,YES,0,53,61,54,181,148,186
GENE-2749,YES,0,558,998,605,637,507,530
GENE-2838,YES,0,38,65,53,13,11,12
GENE-2846,YES,0,2,2,1,16,20,43
GENE-2867,YES,0,20,12,22,17,32,38
GENE-2960,YES,0,2613,2683,3119,1515,1380,1675
GENE-3128,YES,0,168,186,152,1459,2104,1837
GENE-3189,YES,0,89,67,96,90,91,104
GENE-3271,YES,0,20,18,19,0,5,2
GENE-3282,YES,0,656,652,479,149,144,120
GENE-3420,YES,0,607,604,518,47,70,52
GENE-3546,YES,0,3,15,16,72,47,76
GENE-3567,YES,0,368,273,269,175,145,186
GENE-3588,YES,0,1613,1908,1198,640,644,486
GENE-3695,YES,0,348,412,339,121,203,128
GENE-3703,YES,0,15,26,23,1,0,1
GENE-3844,YES,0,364,388,502,533,347,483
GENE-3851,YES,0,56,52,61,209,203,224
GENE-3877,YES,0,49,62,74,22,28,23
GENE-3944,YES,0,235,172,164,13,14,20
GENE-4139,YES,0,332,345,348,1520,1486,1185
GENE-4165,YES,0,21,17,14,37,28,47
GENE-4176,YES,0,26,23,30,11,13,10
