name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-2564,YES,3455.4,6719.4,191.3,0.028,-5.1,0.22,-23.06,1.1e-117,7.3e-114,0,0,7219.2,5505.9,7433.2,201.8,204.8,167.3
GENE-18801,YES,8487,613.6,16360.5,26.664,4.7,0.21,22.4,3.6e-111,2.3e-107,0,0,515.2,628.1,697.5,15751.2,18507.1,14823.2
GENE-14638,YES,1286.7,2464.4,109,0.044,-4.5,0.21,-21.37,2.8e-101,1.8e-97,0,0,2492.6,2681.8,2218.7,103.9,99.4,123.7
GENE-14109,YES,602.3,1138.1,66.5,0.058,-4.1,0.22,-18.76,1.5e-78,9.6e-75,0,0,1130.4,1243.3,1040.7,72.2,62,65.3
GENE-993,YES,737.9,1343.1,132.7,0.099,-3.3,0.19,-18.03,1.1e-72,6.8e-69,0,0,1381,1278.2,1370,134.6,129,134.6
GENE-132,YES,509.2,992,26.3,0.027,-5.2,0.31,-16.98,1.1e-64,7.3e-61,0,0,1250.3,750.6,975,25.7,26.6,26.7
GENE-7008,YES,338.5,656.2,20.7,0.032,-5,0.29,-16.99,9.8e-65,6.3e-61,0,0,643,658,667.6,24.7,24.6,12.9
GENE-10789,YES,493.3,10,976.7,98.328,6.6,0.41,16.06,4.8e-58,3.1e-54,0,0,15.9,5,9,710.4,1017.1,1202.5
GENE-10126,YES,712.8,1254.7,170.9,0.136,-2.9,0.19,-14.93,2.1e-50,1.3e-46,0,0,1223.5,1173.6,1367.1,172.2,181.2,159.3
GENE-3128,YES,972.7,167.6,1777.8,10.607,3.4,0.23,14.7,6.5e-49,4.1e-45,0,0,166.4,185.2,151.2,1443.6,2071.7,1818.1
GENE-7104,YES,1472.4,343.9,2600.8,7.564,2.9,0.2,14.47,2.0e-47,1.3e-43,0,0,322,350.4,359.2,2811,2803.2,2188.3
GENE-10677,YES,689.5,1182.4,196.6,0.166,-2.6,0.19,-13.96,2.8e-44,1.8e-40,0,0,1227.5,1101,1218.8,196.9,185.1,207.8
GENE-3420,YES,314.1,572.7,55.6,0.097,-3.4,0.25,-13.41,5.5e-41,3.5e-37,0,0,601.4,601.3,515.4,46.5,68.9,51.5
GENE-1117,YES,5024.2,9338.7,709.7,0.076,-3.7,0.28,-13.3,2.3e-40,1.5e-36,0,0,10858,10196.5,6961.6,745.1,527.8,856.1
GENE-6446,YES,359.3,622.8,95.8,0.154,-2.7,0.21,-12.91,4.1e-38,2.6e-34,0,0,599.4,594.3,674.6,99.9,87.6,100
GENE-19872,YES,3669.9,5973.5,1366.4,0.229,-2.1,0.17,-12.46,1.3e-35,8.3e-32,0,0,6343.4,5448.1,6128.9,1451.5,1311.5,1336.1
GENE-4646,YES,412,717.2,106.7,0.149,-2.7,0.23,-12.16,5.1e-34,3.3e-30,0,0,627.1,744.6,780,96,123.1,101
GENE-2325,YES,1020.9,359.4,1682.3,4.681,2.2,0.18,12.11,9.4e-34,6.0e-30,0,0,356.7,342.4,379.1,1508.9,1756.6,1781.5
GENE-16775,YES,174.3,22.5,326.1,14.481,3.9,0.32,11.9,1.2e-32,7.3e-29,0,0,25.8,14.9,26.9,342.4,264.9,371.1
GENE-5634,YES,132.5,255,9.9,0.039,-4.7,0.4,-11.69,1.5e-31,9.4e-28,0,0,244.7,194.1,326.3,12.9,7.9,8.9
GENE-1325,YES,452.4,822.4,82.3,0.1,-3.3,0.29,-11.38,5.3e-30,3.4e-26,0,0,582.5,806.3,1078.5,78.2,82.7,86.1
GENE-5171,YES,127.4,2,252.9,127.236,7,0.64,10.89,1.3e-27,8.1e-24,0,0,1,4,1,257.3,267.8,233.6
GENE-6764,YES,1083.8,1854.8,312.8,0.169,-2.6,0.24,-10.86,1.7e-27,1.1e-23,0,0,2131,1655.4,1778,364.1,327.9,246.4
GENE-13635,YES,298.4,507.9,88.9,0.175,-2.5,0.23,-10.85,1.9e-27,1.2e-23,0,0,451.8,580.4,491.5,92,78.8,96
GENE-6627,YES,700.3,1122.2,278.3,0.248,-2,0.19,-10.8,3.4e-27,2.2e-23,0,0,1138.3,1183.6,1044.7,273.1,259,302.9
GENE-492,YES,107.4,194.5,20.4,0.105,-3.3,0.31,-10.48,1.1e-25,7.1e-22,0,0,175.4,188.1,219.9,23.7,20.7,16.8
GENE-14591,YES,243.9,406.1,81.6,0.201,-2.3,0.22,-10.32,5.6e-25,3.6e-21,0,0,381.4,444,393,80.1,90.6,74.2
GENE-6140,YES,285.3,76.8,493.7,6.426,2.7,0.26,10.26,1.0e-24,6.6e-21,0,0,95.1,79.6,55.7,512.5,457.9,510.7
GENE-3944,YES,102.3,189.1,15.5,0.082,-3.6,0.35,-10.22,1.6e-24,1.0e-20,0,0,232.8,171.2,163.2,12.9,13.8,19.8
GENE-4139,YES,859.8,339.5,1380,4.064,2,0.2,10.22,1.6e-24,1.0e-20,0,0,328.9,343.4,346.2,1504,1463.2,1172.8
GENE-15907,YES,252.8,424,81.7,0.193,-2.4,0.23,-10.15,3.3e-24,2.1e-20,0,0,439.9,463.9,368.1,79.2,91.6,74.2
GENE-4897,YES,422.4,732.2,112.6,0.154,-2.7,0.27,-10.13,4.0e-24,2.5e-20,0,0,840.1,660,696.5,80.1,128,129.7
GENE-10849,YES,101.2,23.2,179.1,7.726,2.9,0.3,9.86,6.0e-23,3.8e-19,0,0,23.8,17.9,27.9,179.1,183.1,175.2
GENE-5753,YES,1408.7,2117.9,699.4,0.33,-1.6,0.16,-9.83,8.6e-23,5.5e-19,0,0,2090.4,2082.5,2180.9,723.3,713.9,661.1
GENE-397,YES,386.8,165.2,608.3,3.68,1.9,0.2,9.41,5.0e-21,3.2e-17,0,0,177.3,147.3,171.1,585.8,591.8,647.3
GENE-18007,YES,125.3,228.5,22,0.097,-3.4,0.36,-9.36,7.6e-21,4.9e-17,0,0,286.3,235.9,163.2,27.7,22.6,15.8
